gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,8.9198,native,0.0,0.1,104.48
gfx950,256,2,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,8.4642,native,0.0,0.22,111.82
gfx950,256,4,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,8.5223,native,0.0,0.43,114.45
gfx950,256,8,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,8.5485,native,0.0,0.86,120.87
gfx950,256,16,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,8.1905,native,0.0,1.79,140.28
gfx950,256,32,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,9.2239,native,0.0,3.18,149.65
gfx950,256,64,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,8.8829,native,0.0,6.61,207.5
gfx950,256,128,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,10.845,native,0.0,10.83,255.32
gfx950,256,1,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,9.8357,native,0.0,0.56,561.23
gfx950,256,2,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,10.3125,native,0.0,1.07,536.75
gfx950,256,4,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,10.3561,native,0.0,2.13,537.41
gfx950,256,8,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,9.9468,native,0.0,4.43,565.59
gfx950,256,16,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,10.2567,native,0.0,8.59,560.29
gfx950,256,32,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,11.5887,native,0.0,15.2,516.74
gfx950,256,64,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,11.7133,native,0.0,30.08,552.51
gfx950,256,128,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,10.727,native,0.0,65.69,693.42
gfx950,256,1,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,10.1069,native,0.0,0.73,727.76
gfx950,256,2,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,10.1485,native,0.0,1.45,726.29
gfx950,256,4,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,10.2193,native,0.0,2.87,724.26
gfx950,256,8,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,10.6197,native,0.0,5.53,702.74
gfx950,256,16,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,10.6335,native,0.0,11.04,713.39
gfx950,256,32,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,10.8086,native,0.0,21.73,724.57
gfx950,256,64,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,11.8787,native,0.0,39.55,700.67
gfx950,256,128,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,11.3372,native,0.0,82.87,820.85
gfx950,256,1,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,14.6169,native,0.0,1.0,1005.44
gfx950,256,2,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,15.4292,native,0.0,1.9,953.57
gfx950,256,4,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,14.7071,native,0.0,3.99,1002.62
gfx950,256,8,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,14.533,native,0.0,8.08,1019.14
gfx950,256,16,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,12.068,native,0.0,19.46,1238.17
gfx950,256,32,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,12.2557,native,0.0,38.33,1240.59
gfx950,256,64,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,12.0367,native,0.0,78.05,1306.72
gfx950,256,128,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,15.7532,native,0.0,119.28,1065.0
1,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,11.5475,native,0.0,0.06,64.37
2,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,9.0509,native,0.0,0.16,82.79
4,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,9.0717,native,0.0,0.33,83.93
8,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,9.9443,native,0.0,0.59,78.98
16,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,10.4904,native,0.0,1.12,79.46
32,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,10.4456,native,0.0,2.26,89.01
64,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,9.3995,native,0.0,5.02,119.4
128,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,9.962,native,0.0,9.47,151.31
1,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,15.2355,native,0.0,0.24,242.42
2,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,10.4032,native,0.0,0.71,355.71
4,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,10.604,native,0.0,1.39,350.3
8,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,10.4092,native,0.0,2.83,359.56
16,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,torch,0,0,10.7312,native,0.0,5.5,354.02
