gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,23.4492,auto,0.0,0.04,39.74
gfx950,256,2,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,23.4476,auto,0.0,0.08,40.36
gfx950,256,4,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,23.5538,auto,0.0,0.16,41.41
gfx950,256,8,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,23.5068,auto,0.0,0.31,43.95
gfx950,256,16,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,17.7843,auto,0.0,0.83,64.6
gfx950,256,32,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,19.9185,auto,0.0,1.47,69.3
gfx950,256,64,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,26.4178,auto,0.0,2.22,69.77
gfx950,256,128,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,42.7971,auto,0.0,2.74,64.7
gfx950,256,1,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,8.4353,auto,0.0,0.65,654.41
gfx950,256,2,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,8.308,auto,0.0,1.33,666.25
gfx950,256,4,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,9.4082,auto,0.0,2.34,591.55
gfx950,256,8,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,8.4093,auto,0.0,5.24,669.0
gfx950,256,16,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,9.7402,auto,0.0,9.04,590.0
gfx950,256,32,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,7.9775,auto,0.0,22.08,750.66
gfx950,256,64,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,10.1661,auto,0.0,34.66,636.59
gfx950,256,128,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,11.089,auto,0.0,63.54,670.79
gfx950,256,1,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,28.5077,auto,0.0,0.26,258.01
gfx950,256,2,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,28.3033,auto,0.0,0.52,260.42
gfx950,256,4,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,28.3678,auto,0.0,1.03,260.91
gfx950,256,8,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,28.569,auto,0.0,2.06,261.22
gfx950,256,16,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,23.1734,auto,0.0,5.07,327.35
gfx950,256,32,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,28.4429,auto,0.0,8.26,275.34
gfx950,256,64,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,32.7467,auto,0.0,14.35,254.17
gfx950,256,128,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,43.5051,auto,0.0,21.6,213.91
gfx950,256,1,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,30.3479,auto,0.0,0.48,484.27
gfx950,256,2,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,30.3526,auto,0.0,0.97,484.73
gfx950,256,4,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,30.3445,auto,0.0,1.94,485.94
gfx950,256,8,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,30.5347,auto,0.0,3.85,485.06
gfx950,256,16,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,24.5519,auto,0.0,9.57,608.6
gfx950,256,32,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,28.3531,auto,0.0,16.57,536.25
gfx950,256,64,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,32.9022,auto,0.0,28.56,478.04
gfx950,256,128,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,43.1471,auto,0.0,43.55,388.84
1,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,5.4901,auto,0.0,0.13,135.39
2,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,5.5037,auto,0.0,0.27,136.15
4,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,5.6179,auto,0.0,0.52,135.52
8,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,5.3115,auto,0.0,1.11,147.87
16,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,5.9426,auto,0.0,1.99,140.26
32,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,7.1494,auto,0.0,3.3,130.05
64,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,8.1017,auto,0.0,5.82,138.53
128,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,9.8095,auto,0.0,9.62,153.66
1,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,11.1315,auto,0.0,0.33,331.8
2,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,10.787,auto,0.0,0.68,343.05
4,640,2880,True,torch.bfloat16,torch.bfloat16,False,False,gfx950,256,triton,0,0,10.7752,auto,0.0,1.37,344.73
