gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2229,8,4.575,flydsl_gemm7_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,0.2,203.71
gfx950,256,2,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2226,7,4.9615,flydsl_gemm7_abf16_wbf16_bf16_t16x64x128_split_k7_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0312,0.37,190.76
gfx950,256,4,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2229,8,4.8718,flydsl_gemm7_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.043,0.75,200.21
gfx950,256,8,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1949,8,4.9526,flydsl_gemm6_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0332,1.48,208.62
gfx950,256,16,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1117,8,5.1586,flydsl_gemm4_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0352,2.85,222.72
gfx950,256,32,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1950,8,5.0779,flydsl_gemm6_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.021,5.78,271.84
gfx950,256,64,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2604,8,4.9643,flydsl_gemm6_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0288,11.83,371.29
gfx950,256,128,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2974,8,5.8617,flydsl_gemm6_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0267,20.04,472.37
gfx950,256,1,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4425,8,5.8407,flydsl_gemm8_abf16_wbf16_bf16_t16x64x64_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.013,0.94,945.11
gfx950,256,2,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4425,8,5.8128,flydsl_gemm8_abf16_wbf16_bf16_t16x64x64_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.013,1.89,952.25
gfx950,256,4,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4425,8,5.8472,flydsl_gemm8_abf16_wbf16_bf16_t16x64x64_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0241,3.77,951.81
gfx950,256,8,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2303,8,6.0019,flydsl_gemm4_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0215,7.34,937.35
gfx950,256,16,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2303,8,6.3006,flydsl_gemm4_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0239,13.98,912.09
gfx950,256,32,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2303,8,6.7529,flydsl_gemm4_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0217,26.09,886.78
gfx950,256,64,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4292,8,7.6271,flydsl_gemm5_abf16_wbf16_bf16_t32x64x128_split_k8_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0213,46.19,848.51
gfx950,256,128,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3697,4,9.6995,flydsl_gemm4_abf16_wbf16_bf16_t16x64x128_split_k4_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0147,72.65,766.88
gfx950,256,1,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5260,8,6.0699,flydsl_gemm8_abf16_wbf16_bf16_t16x64x64_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0156,1.21,1211.78
gfx950,256,2,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5260,8,6.0431,flydsl_gemm8_abf16_wbf16_bf16_t16x64x64_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0205,2.43,1219.7
gfx950,256,4,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3880,8,6.1385,flydsl_gemm5_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.02,4.78,1205.75
gfx950,256,8,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5259,8,6.405,flydsl_gemm8_abf16_wbf16_bf16_t16x64x64_split_k8_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.03,9.17,1165.17
gfx950,256,16,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4480,8,6.7595,flydsl_gemm6_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0201,17.37,1122.24
