M,N,K,bias,dtype,outdtype,scaleAB
1,2112,7168,False,torch.bfloat16,torch.bfloat16,False
2,2112,7168,False,torch.bfloat16,torch.bfloat16,False
4,2112,7168,False,torch.bfloat16,torch.bfloat16,False
8,2112,7168,False,torch.bfloat16,torch.bfloat16,False
16,2112,7168,False,torch.bfloat16,torch.bfloat16,False
24,2112,7168,False,torch.bfloat16,torch.bfloat16,False
32,2112,7168,False,torch.bfloat16,torch.bfloat16,False
40,2112,7168,False,torch.bfloat16,torch.bfloat16,False
48,2112,7168,False,torch.bfloat16,torch.bfloat16,False
56,2112,7168,False,torch.bfloat16,torch.bfloat16,False
64,2112,7168,False,torch.bfloat16,torch.bfloat16,False
72,2112,7168,False,torch.bfloat16,torch.bfloat16,False
80,2112,7168,False,torch.bfloat16,torch.bfloat16,False
88,2112,7168,False,torch.bfloat16,torch.bfloat16,False
96,2112,7168,False,torch.bfloat16,torch.bfloat16,False
104,2112,7168,False,torch.bfloat16,torch.bfloat16,False
112,2112,7168,False,torch.bfloat16,torch.bfloat16,False
120,2112,7168,False,torch.bfloat16,torch.bfloat16,False
128,2112,7168,False,torch.bfloat16,torch.bfloat16,False
136,2112,7168,False,torch.bfloat16,torch.bfloat16,False
144,2112,7168,False,torch.bfloat16,torch.bfloat16,False
152,2112,7168,False,torch.bfloat16,torch.bfloat16,False
160,2112,7168,False,torch.bfloat16,torch.bfloat16,False
168,2112,7168,False,torch.bfloat16,torch.bfloat16,False
176,2112,7168,False,torch.bfloat16,torch.bfloat16,False
184,2112,7168,False,torch.bfloat16,torch.bfloat16,False
192,2112,7168,False,torch.bfloat16,torch.bfloat16,False
200,2112,7168,False,torch.bfloat16,torch.bfloat16,False
208,2112,7168,False,torch.bfloat16,torch.bfloat16,False
216,2112,7168,False,torch.bfloat16,torch.bfloat16,False
224,2112,7168,False,torch.bfloat16,torch.bfloat16,False
232,2112,7168,False,torch.bfloat16,torch.bfloat16,False
240,2112,7168,False,torch.bfloat16,torch.bfloat16,False
248,2112,7168,False,torch.bfloat16,torch.bfloat16,False
256,2112,7168,False,torch.bfloat16,torch.bfloat16,False
264,2112,7168,False,torch.bfloat16,torch.bfloat16,False
272,2112,7168,False,torch.bfloat16,torch.bfloat16,False
280,2112,7168,False,torch.bfloat16,torch.bfloat16,False
288,2112,7168,False,torch.bfloat16,torch.bfloat16,False
296,2112,7168,False,torch.bfloat16,torch.bfloat16,False
304,2112,7168,False,torch.bfloat16,torch.bfloat16,False
312,2112,7168,False,torch.bfloat16,torch.bfloat16,False
320,2112,7168,False,torch.bfloat16,torch.bfloat16,False
328,2112,7168,False,torch.bfloat16,torch.bfloat16,False
